Suburb,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total Persons
Wagga Wagga,235,198,193,443,775,234,220,180,172,199,202,162,98,116,83,99,84,113,3806
Wagga Wagga,1628,1547,1650,1774,1727,1580,1491,1356,1612,1325,1360,1288,1025,823,656,547,412,492,22293
Wagga Wagga,729,722,586,779,1492,1243,883,656,639,647,681,674,601,473,410,350,285,353,12203
Wagga Wagga Region,903,1090,1070,1058,937,563,699,742,917,964,1134,941,920,765,545,425,263,294,14230
Berry,414,487,422,460,314,308,355,366,449,443,627,706,716,838,674,499,329,298,8705
Callala Bay,196,237,269,258,134,89,127,180,246,246,274,305,272,276,261,180,112,105,3767
Culburra Beach,212,215,234,239,249,257,229,190,225,271,426,435,380,413,346,283,229,245,5078
Ettrema,1,4,1,0,0,6,3,2,1,2,3,4,4,0,1,0,1,4,37
Huskisson,203,204,204,182,132,168,206,203,186,232,308,368,355,392,319,212,160,182,4216
North Nowra,916,1051,1001,1127,989,835,786,851,1017,1046,1084,1146,1039,991,725,603,401,401,16009
Nowra,1333,1270,1238,1263,1296,1356,1309,1129,1220,1192,1332,1157,1060,946,814,597,439,423,19374
St Georges Basin,796,956,875,799,630,526,602,688,793,819,880,790,984,1069,889,720,474,367,13657
Sussex Inlet,135,172,203,201,147,161,154,141,196,242,303,293,393,475,391,319,218,242,4386
Tomerong,139,187,252,253,195,130,157,205,293,236,290,302,307,262,163,110,81,41,3603
Ulladulla,690,793,824,951,630,579,516,638,860,822,1086,1123,1151,1261,1026,882,623,602,15057
Ulladulla Region,214,255,249,261,158,128,190,199,302,305,438,466,486,469,348,210,160,98,4936
