SUBURB,POSTCODE,HOUSE PRICE,HOUSE RENT PRICE,UNIT PRICE,UNIT RENT PRICE
NORTH BONDI,2026,2085000,1275,904000,700
NORMANHURST,2076,995000,650,760000,590
WILEY PARK,2195,800000,510,380000,360
TAMARAMA,2026,3227500,2925,950000,765
SEFTON,2162,720000,480,445000,400
LILYVALE,2508,466667,0,0,0
GREEN VALLEY,2168,626000,460,476500,395
CLARENDON,2756,618750,0,0,0
HAMMONDVILLE,2170,642500,500,480428,430
POTTS POINT,2011,3147500,900,550000,490
SURRY HILLS,2010,1330000,850,747500,590
GLEBE,2037,1460000,780,687500,540
CONCORD,2137,1500500,700,775000,470
BEXLEY,2207,988000,560,622500,465
EASTGARDENS,2036,1464000,735,0,0
TREGEAR,2770,385000,330,275000,320
PYRMONT,2009,1165000,795,864500,700
DARLINGTON,2008,1180000,745,461000,400
MANLY VALE,2093,1298000,787.5,650000,495
ELDERSLIE,2570,590000,480,387500,0
MIDDLE COVE,2068,1670000,985,770000,0
COWAN,2081,830000,0,593800,0
WAKELEY,2176,662500,490,502000,0
COOGEE,2034,2253250,1200,835000,625
LIBERTY GROVE,2138,1175000,750,670000,540
CAMBRIDGE PARK,2747,489000,400,427000,390
MARRICKVILLE,2204,1062000,700,625000,460
BASS HILL,2197,722500,520,555000,490
COLLAROY,2097,1740000,1172.5,680000,535
HELENSBURGH,2508,710000,497.5,509000,470
RYDALMERE,2116,942500,500,670000,520
NEWTOWN,2042,1160000,720,577000,470
CABRAMATTA WEST,2166,736000,430,300000,0
CLAYMORE,2559,85000,0,0,0
WOODPARK,2164,652500,465,501584,0
FIDDLETOWN,2159,2775000,0,0,0
SANS SOUCI,2219,1350000,650,704000,480
NORTH WILLOUGHBY,2068,1876250,892.5,706250,580
CANOELANDS,2157,1830666,0,0,0
SEAFORTH,2092,1750000,1197.5,1100000,800
BEROWRA CREEK,2082,779214,0,0,0
CABRAMATTA,2166,737000,420,390000,320
CONDELL PARK,2200,775000,500,640000,530
CHIPPING NORTON,2170,810000,525,420000,400
COLEDALE,2515,1055777,650,637500,0
DAWES POINT,2000,2866250,0,1680000,2200
CURL CURL,2096,1697525,1150,855000,605
DENHAM COURT,2565,769955,0,0,0
PUTNEY,2112,1733000,800,1188750,0
QUEENSCLIFF,2096,2422500,962.5,770000,615
DUFFYS FOREST,2084,3685000,0,0,0
CROMER,2099,1100000,800,536500,450
CANTERBURY,2193,965000,555,625000,465
BIRCHGROVE,2041,1680000,960,990000,690
LEUMEAH,2560,475000,410,330000,330
MCMAHONS POINT,2060,2680000,1500,775000,550
CHURCH POINT,2105,1470000,1087.5,2450000,0
REGENTS PARK,2143,795000,460,426000,380
MADDENS PLAINS,2508,2130000,0,0,0
PHILLIP BAY,2036,1324285,0,529000,0
THE ROCKS,2000,680000,0,1350000,830
CLOVELLY,2031,2082500,1172.5,994000,725
ROYAL NATIONAL PARK,2233,0,0,0,0
BRONTE,2024,2450000,1265,929000,650
CONNELLS POINT,2221,1690000,630,830000,575
ANNANDALE,2038,1257500,775,725000,497.5
SYLVANIA WATERS,2224,1801000,850,639944,450
STRATHFIELD,2135,1910000,700,662500,520
DOONSIDE,2767,550000,420,494995,410
MOUNT ANNAN,2567,605000,475,420000,460
BOSSLEY PARK,2176,659750,480,447388,0
EDENSOR PARK,2176,697500,500,522500,0
OATLANDS,2117,1213000,610,712500,600
HOBARTVILLE,2753,500000,430,400000,0
KYEEMAGH,2216,1025000,650,530000,0
BURWOOD HEIGHTS,2136,1915000,550,710250,535
BELLEVUE HILL,2023,3425000,1675,886500,675
HARRIS PARK,2150,889000,520,435000,410
MACQUARIE FIELDS,2564,500000,400,386500,350
ST IVES CHASE,2075,1527500,1100,1000000,0
GRAYS POINT,2232,995000,625,740000,0
GLENHAVEN,2156,1350000,850,899000,0
RAMSGATE BEACH,2217,1728800,570,760000,445
HAYMARKET,2000,10000000,0,780000,765
BLACKETT,2770,389000,330,0,0
BROOKLYN,2083,700592,480,400000,0
RICHMOND,2753,520000,430,405000,350
LANE COVE,2066,1645500,915,690500,510
NELSON,2765,1414000,0,0,0
ABBOTSFORD,2046,1770000,650,910000,580
REGENTVILLE,2745,582500,425,300000,0
GLADESVILLE,2111,1500000,800,607250,430
SYDENHAM,2044,887500,622.5,443428,0
ROZELLE,2039,1320000,790,1015000,600
ERMINGTON,2115,996000,550,740750,520
ARNCLIFFE,2205,960000,600,585000,527.5
CAMPERDOWN,2050,1265000,720,765000,600
GLENFIELD,2167,598800,472.5,395500,360
BARANGAROO,2000,0,0,0,0
CAMMERAY,2062,1810500,1000,855000,600
ASHBURY,2193,1311000,635,0,0
CATHERINE FIELD,2557,1725000,0,800000,0
CAMPBELLTOWN,2560,495000,400,380000,400
ALLAMBIE HEIGHTS,2100,1217500,895,678571,650
WETHERILL PARK,2164,705000,475,357000,415
OYSTER BAY,2225,990000,655,763333,0
FAIRFIELD WEST,2165,630000,450,503000,0
HORNSBY HEIGHTS,2077,940000,630,784500,0
MOORE PARK,2021,0,0,750000,0
LURNEA,2170,567500,440,434000,400
EDGECLIFF,2027,1957285,930,805000,580
ST PETERS,2044,995000,690,665000,590
CAMPSIE,2194,1100000,530,570000,410
SCHOFIELDS,2762,785000,465,572500,500
MAROOTA,2756,857571,0,0,0
COMO,2226,1045000,660,678600,0
BEAUMONT HILLS,2155,950000,690,1220000,0
PROSPECT,2148,630000,440,488005,395
COLYTON,2760,475500,390,391000,365
HORNSBY,2077,960000,600,591000,460
MENANGLE PARK,2563,1200000,400,0,0
WESTLEIGH,2120,1025000,745,670000,0
BERRILEE,2159,1680000,0,660000,0
BELLA VISTA,2153,1295000,792.5,470000,620
BANKSMEADOW,2019,1250000,0,471166,0
BANKSTOWN,2200,800000,490,440000,410
SANDRINGHAM,2219,1500000,800,781000,470
NORTH WAHROONGA,2076,1410000,970,316667,0
LOFTUS,2232,837000,610,680000,0
NORTH TURRAMURRA,2074,1400000,895,1070000,0
PITT TOWN,2756,912500,550,340000,0
CLONTARF,2093,2550000,1747.5,1600000,0
STANWELL PARK,2508,1035000,680,740000,0
ORAN PARK,2570,625000,540,642500,0
NORTHWOOD,2066,2620000,1395,980000,0
STANHOPE GARDENS,2768,782975,590,557500,0
BURRANEER,2230,1740000,1000,1550000,0
FIVE DOCK,2046,1421000,750,770000,597.5
ELIZABETH HILLS,2171,752500,0,522500,0
LEPPINGTON,2179,655000,510,1537500,0
BIDWILL,2770,393250,340,320000,0
VILLAWOOD,2163,630000,447.5,490000,0
CURRANS HILL,2567,490000,440,426916,0
DARLING POINT,2027,5500000,1795,1570000,900
MONTEREY,2217,1380000,620,665000,450
CREMORNE POINT,2090,4411000,1200,1027500,750
KEARNS,2558,541000,425,331333,0
LOWER PORTLAND,2756,838000,0,0,0
WINSTON HILLS,2153,859000,535,278146,505
AIRDS,2560,999135,0,0,0
KIRRAWEE,2232,902500,650,567000,430
GREENACRE,2190,812500,550,510000,480
WINDSOR,2756,587500,450,380416,310
KINGS LANGLEY,2147,782500,540,586000,0
PETERSHAM,2049,1204000,745,670000,450
LEICHHARDT,2040,1182500,727.5,780000,585
ASHCROFT,2168,530000,410,545000,0
MERRYLANDS,2160,750000,480,435000,400
GLENWOOD,2768,802000,580,508642,0
OXFORD FALLS,2100,1625000,0,0,0
BADGERYS CREEK,2555,1320000,0,0,0
HILLSDALE,2036,1271142,655,524000,430
NEUTRAL BAY,2089,1745500,950,797500,570
WAREEMBA,2046,1500000,835,660000,555
DOUBLE BAY,2028,2875000,1550,1156000,680
MOUNT DRUITT,2770,573500,400,345000,340
WEST HOXTON,2171,690000,530,515000,0
JANNALI,2226,860000,580,550000,385
ARNDELL PARK,2148,1500000,0,386000,0
GREAT MACKEREL BEACH,2108,377500,0,0,0
WAVERTON,2060,2330000,1225,896250,600
KIRRIBILLI,2061,3200000,1200,921000,600
WOODCROFT,2767,669500,490,500250,0
CASTLE COVE,2069,1915000,1175,0,0
BANGOR,2234,868000.5,680,687250,610
KANGAROO POINT,2224,1740000,850,2640000,0
DANGAR ISLAND,2083,749166,0,0,0
YENNORA,2161,700000,400,342100,0
WENTWORTH POINT,2127,31156250,0,605000,520
CROYDON,2132,1360000,605,705000,475
THE PONDS,2769,862750,640,755000,0
WHALAN,2770,388000,350,0,0
FRESHWATER,2096,1685000,1250,650000,540
CROYDON PARK,2133,1097500,600,645000,410
LAVENDER BAY,2060,5135222,1200,620550,550
SYDNEY,2000,6300000,400,785000,670
WOLLSTONECRAFT,2065,2230000,1250,887000,595
ROSEHILL,2142,760000,500,456000,400
MAYS HILL,2145,1055000,460,555000,0
HECKENBERG,2168,520000,400,0,0
ALFORDS POINT,2234,1060000,765,0,0
EAST LINDFIELD,2070,1865000,1050,0,0
MONA VALE,2103,1325000,850,850000,560
MIDDLE DURAL,2158,1811830,712.5,0,0
NORTH ST MARYS,2760,450000,360,342333,0
CAMBRIDGE GARDENS,2747,460000,415,359000,0
EPPING,2121,1550000,687.5,785000,500
NORTH MANLY,2100,1415000,990,563200,450
HOXTON PARK,2171,622500,480,465650,0
NARRAWEENA,2099,1181000,795,712000,0
DULWICH HILL,2203,1253787.5,717.5,650000,475
CENTENNIAL PARK,2021,4325000,1697.5,624000,520
COBBITTY,2570,672450,600,0,0
PORT HACKING,2229,1490000,0,875000,0
OAKVILLE,2765,1850000,410,0,0
PADSTOW HEIGHTS,2211,830000,550,672085,470
MELROSE PARK,2114,1331000,590,959400,0
VINEYARD,2765,615144,530,165000,0
CRONULLA,2230,1675000,850,645000,460
BALMAIN,2041,1550000,850,800000,650
MOUNT COLAH,2079,880000,600,720000,0
LINLEY POINT,2066,3546428,1075,0,0
DHARRUK,2770,452500,355,0,0
DENISTONE WEST,2114,1210000,622.5,685000,0
WINDSOR DOWNS,2756,1225000,0,0,0
POTTS HILL,2143,654333,650,604500,0
RANDWICK,2031,2000000,1000,730000,590
ROOTY HILL,2766,555250,420,460000,410
CLYDE,2142,1037500,0,352000,0
HURLSTONE PARK,2193,1168500,695,665000,440
PARRAMATTA,2150,940000,490,550000,460
BERKSHIRE PARK,2765,1075000,690,0,0
LILLI PILLI,2229,1615000,985,1180000,0
SUMMER HILL,2130,1340000,680,678000,450
LINDFIELD,2070,2020000,1090,789000,557.5
SEVEN HILLS,2147,640550,430,620000,480
NORTHMEAD,2152,860750,520,579000,440
NORTH CURL CURL,2099,1600000,1050,915000,490
ROSEBERY,2018,1264250,750,708000,570
CHIPPENDALE,2008,1301000,810,666500,550
GALSTON,2159,895000,790,560187,0
YOWIE BAY,2228,1365000,855,1533855,0
ROSEVILLE CHASE,2069,1750000,1050,0,0
BRADBURY,2560,457000,400,299500,305
AMBARVALE,2560,460000,390,300000,327.5
ALLAWAH,2218,1130000,550,625000,450
RIVERSTONE,2765,615250,425,490000,0
KIRKHAM,2570,1199175,0,0,0
WESTMEAD,2145,913000,470,510000,440
ROUSE HILL,2155,910000,600,635875,520
EDMONDSON PARK,2174,731920,580,0,0
YAGOONA,2199,743400,500,469000,420
LALOR PARK,2147,576000,420,299000,0
WOOLLAHRA,2025,2105000,1350,940000,680
MINTO,2566,497500,415,346000,320
KINGSGROVE,2208,1100000,570,674500,450
FAIRFIELD EAST,2165,619500,450,170875,310
FAIRFIELD,2165,665000,440,376000,370
BURWOOD,2134,1800000,650,700500,530
NEWINGTON,2127,1114000,725,630000,530
GREGORY HILLS,2557,619500,530,547078,0
ROSSMORE,2557,1535000,525,0,0
ESCHOL PARK,2558,458775,400,295000,0
NORTH BALGOWLAH,2093,1580000,1295,545000,0
GLENMORE PARK,2745,622750,470,457500,430
ST HELENS PARK,2560,466000,400,342428,310
COALCLIFF,2508,1445828,0,0,0
EASTLAKES,2018,1090000,730,533500,430
MOSMAN,2088,2800000,1562.5,840000,575
PARKLEA,2768,738000,580,458000,470
BROOKVALE,2100,1190000,590,575000,530
LIVERPOOL,2170,671750,415,361075,350
COLEBEE,2761,573000,0,0,0
CANADA BAY,2046,1400000,750,797500,592.5
WOOLWICH,2110,4110000,0,705000,487.5
QUAKERS HILL,2763,655000,470,539000,450
OTFORD,2508,764285,0,0,0
TERREY HILLS,2084,1270000,1000,532500,0
WORONORA,2232,920000,580,615000,0
ERSKINEVILLE,2043,1030000,720,729000,590
KAREELA,2232,990000,770,0,0
CONSTITUTION HILL,2145,730000,450,503500,420
PANANIA,2213,850000,520,630000,480
ROPES CROSSING,2760,550000,500,475000,424
MCGRATHS HILL,2756,585000,475,465000,0
ENFIELD,2136,1145000,590,617000,477.5
BONNYRIGG HEIGHTS,2177,655000,495,510000,0
BEROWRA,2081,875000,567.5,780000,0
SOUTH WINDSOR,2756,470000,425,393500,390
MOUNT VERNON,2178,958571,0,0,0
PRAIRIEWOOD,2176,729000,510,460000,0
CATTAI,2756,1022500,0,0,0
RUSSELL LEA,2046,1517500,790,845000,500
ASQUITH,2077,1050000,600,776400,500
ZETLAND,2017,1015000,735,800000,650
ARTARMON,2064,1950000,1150,750000,550
WILLOUGHBY EAST,2068,2015000,1350,700000,0
EMERTON,2770,400250,337.5,337690,307.5
PAGEWOOD,2035,1400000,835,918085,460
EAST HILLS,2213,800000,550,657142,480
BEVERLY HILLS,2209,1050000,550,624000,465
LEWISHAM,2049,1210000,685,573750,500
BOTANY,2019,1137500,695,731000,620
NARELLAN,2567,519000,420,357833,420
BONNET BAY,2226,952500,670,650000,0
WORONORA HEIGHTS,2233,860500,455,727000,0
NARWEE,2209,972500,550,556000,400
WERRINGTON,2747,536250,380,393475,330
LANE COVE WEST,2066,1585000,850,728455,577.5
DRUMMOYNE,2047,1637500,800,887000,560
BALGOWLAH HEIGHTS,2093,2000000,1400,985000,0
BLAIRMOUNT,2559,526000,0,272000,0
TENNYSON POINT,2111,1825000,780,0,0
REVESBY,2212,850000,530,658000,485
CHERRYBROOK,2126,1212500,750,793000,610
KOGARAH BAY,2217,1195000,590,808000,0
PLEASURE POINT,2172,1175500,0,0,0
MOUNT PRITCHARD,2170,580000,420,440000,0
BANKSTOWN AERODROME,2200,0,0,0,0
CHIFLEY,2036,1421000,800,958416,0
NARELLAN VALE,2567,534000,450,436333,0
ROSELANDS,2196,863500,550,455500,380
HURSTVILLE GROVE,2220,1350000,585,1058000,0
PICNIC POINT,2213,900000,590,694000,317.5
HORSLEY PARK,2175,1285000,520,0,0
TAREN POINT,2229,1400000,600,686111,430
CARINGBAH,2229,1006001,680,579000,460
CANLEY HEIGHTS,2166,687500,430,502000,0
DARKES FOREST,2508,1400000,0,0,0
MAIANBAR,2230,930000,580,720000,0
HABERFIELD,2045,1835000,950,654195,465
MARAYLYA,2765,1262500,0,0,0
BRIGHTON-LE-SANDS,2216,1265000,675,660000,460
MINCHINBURY,2770,615000,460,712916,400
MARSFIELD,2122,1485000,700,715000,500
BUNDEENA,2230,750000,580,669000,0
LILYFIELD,2040,1392500,790,926250,610
NARRABEEN,2101,1770000,975,705000,550
ARCADIA,2159,1505000,535,0,0
GRANVILLE,2142,750000,455,420000,400
BONDI JUNCTION,2022,1617600,900,817000,637.5
BELROSE,2085,1246000,905,395000,420
ANNANGROVE,2156,1387550,520,0,0
CLAREMONT MEADOWS,2747,566300,425,397142,0
CARLINGFORD,2118,1179000,592.5,700000,530
RIVERWOOD,2210,880000,512.5,585500,480
EASTWOOD,2122,1474000,680,666888,440
BANKSIA,2216,940000,600,591285,497.5
BILGOLA,2107,2708333,0,683500,0
CECIL PARK,2178,1445000,0,0,0
EARLWOOD,2206,1150000,640,700000,495
STANMORE,2048,1315000,800,620000,482.5
BLIGH PARK,2756,535000,450,406250,395
RIVERVIEW,2066,1805000,1200,954000,0
PADDINGTON,2021,1680000,1050,730000,500
BEACON HILL,2100,1166250,870,1010666,0
MENAI,2234,910000,690,650000,520
SACKVILLE NORTH,2756,880000,0,0,0
LIDCOMBE,2141,950000,520,610000,472.5
BIRRONG,2143,767500,500,600333,0
DOVER HEIGHTS,2030,2836000,1800,1125000,550
ELANORA HEIGHTS,2101,1192500,900,881400,662.5
HENLEY,2111,4329444,0,2130000,580
SANDY POINT,2172,816000,550,440000,0
RABY,2566,480000,420,372666,350
WATSONS BAY,2030,2800000,1700,1740000,490
