SUBURB,HOUSE PRICE,UNIT PRICE
SOUTH COOGEE,1800500,785000
GLENFIELD,598800,395500
WILLOUGHBY EAST,2015000,700000
DARLINGTON,1180000,461000
WEST HOXTON,690000,515000
KEARNS,541000,331333
ST ANDREWS,493500,334375
BONDI JUNCTION,1617600,817000
DARLINGHURST,1395000,740000
KURNELL,880000,495000
WERRINGTON,536250,393475
MOSMAN,2800000,840000
OYSTER BAY,990000,763333
LA PEROUSE,1537500,1054000
CANTERBURY,965000,625000
LURNEA,567500,434000
MIDDLE COVE,1670000,770000
KENSINGTON,1890500,705000
JAMISONTOWN,560850,370000
RAMSGATE BEACH,1728800,760000
WEDDERBURN,900000,0
ROSEVILLE,2010000,723000
COLEBEE,573000,0
CHIPPENDALE,1301000,666500
ABBOTSFORD,1770000,910000
ARNCLIFFE,960000,585000
HUNTLEYS POINT,3481500,2431500
WOMBARRA,847500,850000
ACACIA GARDENS,700000,624000
BEXLEY NORTH,996000,632500
CAMMERAY,1810500,855000
ST LEONARDS,2350000,794500
TELOPEA,939500,630000
ALLAMBIE HEIGHTS,1217500,678571
CLOVELLY,2082500,994000
ARNDELL PARK,1500000,386000
VILLAWOOD,630000,490000
WEST PENNANT HILLS,1318000,822500
EAST KILLARA,1805000,838000
PADSTOW,850000,613500
KANGAROO POINT,1740000,2640000
SYLVANIA WATERS,1801000,639944
SANDRINGHAM,1500000,781000
WOODPARK,652500,501584
FOREST LODGE,1135000,785000
PADSTOW HEIGHTS,830000,672085
HURSTVILLE,1300000,645000
CATHERINE FIELD,1725000,800000
RUSE,486000,272750
KYEEMAGH,1025000,530000
NORTHWOOD,2620000,980000
LONG POINT,886000,0
PUNCHBOWL,750000,409125
PALM BEACH,2150000,1150000
LOWER PORTLAND,838000,0
BEVERLY HILLS,1050000,624000
RICHMOND,520000,405000
ALFORDS POINT,1060000,0
CURL CURL,1697525,855000
PYRMONT,1165000,864500
KINGSGROVE,1100000,674500
GLENDENNING,535000,418000
BONNYRIGG HEIGHTS,655000,510000
MACQUARIE PARK,7000000,628500
MIDDLETON GRANGE,662100,504166
PENNANT HILLS,1135000,531000
SYDNEY OLYMPIC PARK,0,682500
ERSKINE PARK,580000,410000
OLD TOONGABBIE,720000,571800
BELROSE,1246000,395000
DENHAM COURT,769955,0
YOWIE BAY,1365000,1533855
BARANGAROO,0,0
LUCAS HEIGHTS,0,0
BANKSTOWN AERODROME,0,0
PORT BOTANY,0,0
ROOKWOOD,0,0
ROYAL NATIONAL PARK,0,0
