SUBURB,PRIVATE TRAVEL TIME,PUBLIC TRAVEL TIME
MARSDEN PARK,40 mins,1 hour 22 mins
MARSFIELD,21 mins,39 mins
MASCOT,15 mins,25 mins
MATRAVILLE,19 mins,33 mins
MAYS HILL,31 mins,57 mins
MCGRATHS HILL,50 mins,2 hours 19 mins
MCMAHONS POINT,11 mins,20 mins
MEADOWBANK,25 mins,45 mins
MELROSE PARK,29 mins,1 hour 0 mins
MENAI,37 mins,1 hour 19 mins
MENANGLE PARK,58 mins,1 hour 41 mins
MERRYLANDS,35 mins,51 mins
MERRYLANDS WEST,34 mins,1 hour 3 mins
MIDDLE COVE,16 mins,47 mins
MIDDLE DURAL,39 mins,1 hour 15 mins
MIDDLETON GRANGE,42 mins,1 hour 35 mins
MILLER,42 mins,1 hour 49 mins
MILLERS POINT,6 mins,8 mins
MILPERRA,32 mins,1 hour 26 mins
MILSONS PASSAGE,58 mins,1 hour 53 mins
MILSONS POINT,9 mins,11 mins
MINCHINBURY,44 mins,1 hour 58 mins
MINTO,46 mins,1 hour 22 mins
MINTO HEIGHTS,47 mins,1 hour 39 mins
MIRANDA,38 mins,1 hour 2 mins
MONA VALE,43 mins,52 mins
MONTEREY,22 mins,1 hour 26 mins
MOORE PARK,10 mins,26 mins
MOOREBANK,34 mins,1 hour 2 mins
MORTDALE,34 mins,1 hour 5 mins
MORTLAKE,26 mins,1 hour 30 mins
MOSMAN,14 mins,22 mins
MOUNT ANNAN,49 mins,1 hour 41 mins
MOUNT COLAH,40 mins,1 hour 2 mins
MOUNT DRUITT,43 mins,1 hour 24 mins
MOUNT KURING-GAI,39 mins,1 hour 9 mins
MOUNT LEWIS,31 mins,1 hour 7 mins
MOUNT PRITCHARD,42 mins,2 hours 9 mins
MOUNT VERNON,48 mins,2 hours 7 mins
MULGOA,57 mins,1 hour 45 mins
NARELLAN,53 mins,1 hour 43 mins
NARELLAN VALE,52 mins,1 hour 54 mins
NAREMBURN,9 mins,19 mins
NARRABEEN,36 mins,52 mins
NARRAWEENA,31 mins,46 mins
NARWEE,27 mins,45 mins
NELSON,45 mins,2 hours 3 mins
NEUTRAL BAY,10 mins,14 mins
NEWINGTON,31 mins,1 hour 41 mins
NEWPORT,46 mins,1 hour 0 mins
NEWTOWN,13 mins,21 mins
NORMANHURST,32 mins,54 mins
NORTH BALGOWLAH,24 mins,44 mins
NORTH BONDI,20 mins,41 mins
NORTH CURL CURL,32 mins,59 mins
NORTH EPPING,26 mins,1 hour 11 mins
NORTH MANLY,27 mins,39 mins
NORTH NARRABEEN,36 mins,54 mins
NORTH PARRAMATTA,31 mins,1 hour 22 mins
NORTH ROCKS,30 mins,59 mins
NORTH RYDE,19 mins,25 mins
NORTH ST MARYS,46 mins,1 hour 35 mins
NORTH STRATHFIELD,23 mins,43 mins
NORTH SYDNEY,9 mins,11 mins
NORTH TURRAMURRA,28 mins,57 mins
NORTH WAHROONGA,32 mins,1 hour 4 mins
NORTH WILLOUGHBY,14 mins,44 mins
NORTHBRIDGE,11 mins,22 mins
